[cloudshell-user@ip-10-0-151-86 bloatware]$ kubectl get pods
NAME                                  READY   STATUS    RESTARTS   AGE
bloaty-mcbloatface-58c98b98d8-2kskq   1/1     Running   0          3m23s
bloaty-mcbloatface-58c98b98d8-2qj98   1/1     Running   0          3m23s
bloaty-mcbloatface-58c98b98d8-5dk6n   1/1     Running   0          3m23s
bloaty-mcbloatface-58c98b98d8-68frw   1/1     Running   0          3m23s
bloaty-mcbloatface-58c98b98d8-9bmlz   1/1     Running   0          3m23s
bloaty-mcbloatface-58c98b98d8-cnw7c   1/1     Running   0          3m23s
bloaty-mcbloatface-58c98b98d8-dm5pf   1/1     Running   0          3m23s
bloaty-mcbloatface-58c98b98d8-f4dt9   1/1     Running   0          3m23s
bloaty-mcbloatface-58c98b98d8-k86qg   1/1     Running   0          3m23s
bloaty-mcbloatface-58c98b98d8-lf2gs   1/1     Running   0          3m23s
bloaty-mcbloatface-58c98b98d8-nnknf   1/1     Running   0          3m23s
bloaty-mcbloatface-58c98b98d8-nvcpd   1/1     Running   0          3m23s
bloaty-mcbloatface-58c98b98d8-pg4c4   1/1     Running   0          3m23s
bloaty-mcbloatface-58c98b98d8-qt45j   1/1     Running   0          3m23s
bloaty-mcbloatface-58c98b98d8-td8ts   1/1     Running   0          3m23s
bloaty-mcbloatface-58c98b98d8-wnjhn   1/1     Running   0          3m23s
bloaty-mcbloatface-58c98b98d8-xjrg5   1/1     Running   0          3m23s
